Price,Close,Volume
Ticker,ETH-USD,ETH-USD
count,1965.0,1965.0
mean,2011.7100048152545,17079324741.602036
std,1123.7839328897958,10739740761.158691
min,110.60587310791016,2081625742.0
25%,1299.9464111328125,9774451820.0
50%,1890.5135498046875,14901696210.0
75%,2888.9296875,21172766310.0
max,4812.08740234375,92453553253.0
